UnitCode,UnitName,Faculty
ATS2379,Fairy tale in Italy,arts
ATS2380,Global migrations: Making the modern world,arts
ATS2382,War and memory in the Asia Pacific: Legacies of World War II,arts
ATS2385,Anzac legends: Australians at war,arts
ATS2386,Paradise lost? Sustainability and Australia,arts
ATS2387,Beyond Gallipoli: Australians in the Great War,arts
ATS2394,Australia and Asia,arts
ATS2395,Australia in a globalising world,arts
ATS2400,Personality: Beyond the persona,arts
ATS2410,Narrative,arts
ATS2422,Romanticism and its literary legacy,arts
ATS2427,Earthworks: Literature and environment,arts
ATS2436,New media: From the telegraph to Twitter,arts
ATS2439,Youth media: Understanding media research,arts
ATS2440,The public sphere,arts
ATS2442,Print cultures: Books as media,arts
ATS2443,On the road: Travel and representation,arts
ATS2444,Inscribing Italy: Travels and imaginings,arts
ATS2448,Screen theories and techniques,arts
ATS2449,Media texts,arts
ATS2450,Contemporary media theory,arts
ATS2454,Media audiences,arts
ATS2456,Cybercrime,arts
ATS2457,"Crime, media and culture",arts
ATS2458,"Crime, control and policing",arts
ATS2465,Human rights in the criminal justice sphere,arts
ATS2469,"Victims, justice and the law",arts
ATS2471,Comparative criminal justice: An international perspective,arts
ATS2473,Offender profiling,arts
ATS2485,Reading the past,arts
ATS2490,Advanced Professional Writing,arts
ATS2492,Shakespeare and Renaissance literature,arts
ATS2497,Popular writing and criticism,arts
ATS2498,Contemporary fiction,arts
ATS2500,"The ""Great"" American Novel",arts
ATS2508,Introduction to poetry writing,arts
ATS2513,Short fiction classic and contemporary,arts
ATS2516,Adaptation into film,arts
ATS2517,Introduction to fiction writing,arts
ATS2519,Children's literature: A comparative study,arts
ATS2520,Eurovisions: Europe since World War II,arts
ATS2530,Film and Television Genres,arts
ATS2535,Storytelling in film and television: From classical narrative to art cinema,arts
ATS2538,Film and Television Institutions,arts
ATS2547,Cities and sustainability,arts
ATS2548,Environmental policy and management,arts
ATS2551,Writing resistance: Understanding the power of Indigenous story-telling through literature,arts
ATS2560,"Gender, theory and society",arts
ATS2561,Sex and the media,arts
ATS2563,Global consumption,arts
ATS2566,Researching the Past: (Re)discovering the voiceless,arts
ATS2569,Australian history: Professional and political contexts,arts
